abandon,버리다; 포기하다
environmental,환경의; 환경 보호의
episode,에피소드; 사건
equal,같은; 동등한; 맞먹다
equality,평등; 동등
equation,방정식; 등식; 균형
equip,장비를 갖추다; 준비시키다
equipment,장비; 설비
equivalent,동등한; 상당하는
era,시대
error,오류; 실수
escape,도망치다; 탈출하다; 피하다
especially,특히
essay,수필; 글; 에세이
essential,필수적인; 본질적인
establish,설립하다; 확립하다
establishment,설립; 기관; 시설
estate,재산; 토지; 부동산
estimate,추정하다; 평가하다
eternal,영원한; 끊임없는
ethic,윤리; 도덕
ethnic,민족의; 인종의
evaluate,평가하다
evaluation,평가
evaporate,증발하다
even,심지어; ~조차도; 평평한; 짝수의
evening,저녁; 저녁 시간
event,사건; 행사
eventually,결국; 마침내
ever,언제나; 지금까지
every,모든; 매~
everyday,매일의; 일상적인
everyone,모두; 모든 사람
everything,모든 것
everywhere,어디에나
evidence,증거; 근거
evil,악; 사악한
evolution,진화; 발전
evolve,진화하다; 발달하다
exact,정확한; 엄밀한
exactly,정확히; 바로
exam,시험
examine,검사하다; 조사하다; 시험하다
example,예; 본보기
exceed,넘다; 초과하다
excellent,훌륭한; 뛰어난
except,~을 제외하고
exception,예외
excess,초과; 과잉
exchange,교환하다; 환전하다; 교환
excite,흥분시키다; 들뜨게 하다
excitement,흥분; 짜릿함
exciting,신나는; 흥미진진한
exclude,제외하다
excuse,용서하다; 변명; 핑계
exercise,운동하다; 연습하다; 운동; 연습
exhaust,기진맥진하게 하다; 배기
exhibit,전시하다; 전시물
exhibition,전시; 전람회
exist,존재하다; 실재하다
existence,존재; 삶
exit,출구; 나가다
expand,확장하다; 넓히다
expansion,확장; 팽창
expect,기대하다; 예상하다
expectation,기대; 예상
expedition,원정; 탐험
expense,비용; 지출
expensive,비싼
experience,경험; 겪다
experiment,실험; 실험하다
expert,전문가
expertise,전문 기술; 숙련
explain,설명하다
explanation,설명; 해명
explode,폭발하다; 터지다
exploit,착취하다; 활용하다
explore,탐험하다; 조사하다
explosion,폭발
export,수출하다; 수출
expose,드러내다; 노출하다
exposure,노출; 폭로
express,표현하다; 급행의
expression,표현; 표현 방식
extend,확장하다; 연장하다
extension,확장; 연장; 증축
extensive,광범위한
extent,정도; 범위
external,외부의; 외적인
extra,추가의; 특별한
extraordinary,비범한; 특별한
extreme,극단적인; 극심한
extremely,매우; 극도로
eye,눈
eyebrow,눈썹
fabric,직물; 천; 구조
face,얼굴; 직면하다
facility,시설; 편의
fact,사실; 진실
factor,요인; 요소
factory,공장
faculty,학부; 능력
fade,흐려지다; 사라지다
fail,실패하다; 낙제하다
failure,실패; 고장
faint,희미한; 기절하다
fair,공정한; 박람회; 상당한
fairly,상당히; 꽤; 공정하게
faith,신뢰; 믿음; 신앙
faithful,성실한; 충실한
fall,떨어지다; 가을; 넘어지다
false,거짓의; 잘못된
fame,명성
familiar,익숙한; 친숙한
family,가족
famous,유명한
fan,팬; 부채
fancy,장식적인; 고급의; 공상하다
fantastic,환상적인; 굉장한
far,멀리; 먼
fare,요금
farm,농장; 농사를 짓다
farmer,농부
farming,농업
fashion,패션; 유행; 방식
fast,빠른; 빨리; 단식하다
fat,지방; 살찐; 뚱뚱한
fatal,치명적인; 매우 심각한
fate,운명
father,아버지
fault,잘못; 결함
favor (favour),호의; 선호; 찬성
favorite (favourite),가장 좋아하는; 인기 있는
fear,두려움; 두려워하다
feast,잔치; 축하 연회
feather,깃털
feature,특징; 특성; 이목구비
federal,연방의
fee,요금; 수수료
feed,먹이다; 먹다
feedback,피드백; 반응
feel,느끼다; 기분
feeling,감정; 느낌
fellow,동료; 친구
female,여성; 암컷
fence,울타리; 장벽
festival,축제; 잔치
fetch,가지고 오다; 데리고 오다
fever,열; 열병
few,거의 없는; 약간의; 소수
fiber (fibre),섬유
fiction,소설; 허구
field,들판; 분야; 경기장
fierce,사나운; 격렬한
fifteen,열다섯
fifth,다섯 번째
fifty,오십
fight,싸우다; 싸움
fighter,전투기; 싸우는 사람
figure,숫자; 인물; 모습; 수치
file,파일; 서류철; 정리하다
film,영화; 필름
filter,필터; 여과하다
final,최종의; 마지막의
finally,마침내; 결국
finance,재정; 금융
financial,재정의; 금융의
find,찾다; 발견하다
fine,좋은; 질 좋은; 벌금; 미세한
finger,손가락
finish,끝내다; 마무리하다
fire,불; 화재; 해고하다
firm,딱딱한; 단단한; 회사
first,첫 번째; 처음의
fish,물고기; 낚시하다
fisherman,어부
fishing,낚시
fit,맞다; 적합한; 건강한
fitness,건강; 체력
five,다섯
fix,고치다; 고정시키다
flag,깃발
flame,불꽃; 화염
flank,측면; 옆구리
flash,번쩍임; 플래시; 번쩍이다
flat,평평한; 아파트(영국)
flavor (flavour),맛; 향미
flee,도망치다; 달아나다
flesh,살; 고기
flexible,유연한; 융통성 있는
flight,비행; 항공편; 도망
float,뜨다; 부유하다
flood,홍수; 범람하다
floor,바닥; 층
flour,밀가루
flow,흐르다; 흐름
flower,꽃
flu,독감
fluctuate,변동하다; 오르내리다
fluid,유체; 액체; 유동적인
flush,물 내리다; 붉어지다
fly,날다; 파리
focus,초점; 집중하다
fog,안개
fold,접다; 접힌 부분
folk,사람들; 민속의
follow,따르다; 따라가다
following,다음의; 뒤따르는
fond,좋아하는
food,음식
fool,바보; 속이다
foot,발; 피트(길이 단위)
football,축구
for,~을 위해; ~동안; ~에 대해
forbid,금지하다
force,힘; 강요하다; 군대
forecast,예보하다; 예측하다
forehead,이마
foreign,외국의; 낯선
foreigner,외국인
forest,숲; 삼림
forever,영원히
forget,잊다; 잊어버리다
forgive,용서하다
fork,포크; 갈래
form,형태; 양식; 형성하다
formal,정식의; 형식적인
formation,형성; 구성; 대형
former,이전의; 전자의
formula,공식; 제조법
forth,앞으로; 밖으로
fortune,운; 재산; 행운
forty,마흔
forward,앞으로; 전방으로
fossil,화석
foster,촉진하다; 육성하다; 기르다
found,설립하다; find의 과거
foundation,기초; 재단; 설립
fountain,분수; 샘
four,넷
fourteen,열네
fourth,네 번째
fox,여우
fraction,부분; 분수
fragile,깨지기 쉬운; 연약한
fragment,파편; 조각
frame,틀; 뼈대; 액자
framework,뼈대; 구조
free,자유로운; 무료의; 풀어주다
freedom,자유
freeze,얼다; 얼리다
frequent,빈번한
frequently,자주; 빈번히
fresh,신선한; 생생한
friction,마찰; 갈등
friend,친구
friendly,친근한; 다정한
friendship,우정
fright,공포; 두려움
frighten,놀라게 하다; 겁먹게 하다
frog,개구리
from,~로부터; ~에서
front,앞; 정면
frost,서리
frown,찡그리다; 눈살을 찌푸리다
frozen,얼어붙은; freeze의 과거분사
fruit,과일
frustrate,좌절시키다; 짜증나게 하다
fuel,연료; 에너지원
fulfill (fulfil),이행하다; 충족시키다
full,가득 찬; 완전한
fun,재미; 즐거움
function,기능; 작용하다
fund,자금; 기금
fundamental,근본적인; 기초의
funeral,장례식
funny,재미있는; 웃긴
fur,털; 모피
furniture,가구
further,더 멀리; 추가적인
future,미래
gain,얻다; 증가; 이익
gallery,미술관; 갤러리
game,게임; 경기
gang,갱단; 무리
gap,틈; 격차; 간격
garage,차고; 주차장
garbage,쓰레기
garden,정원
garlic,마늘
gas,가스; 휘발유
gasp,헐떡이다; 숨이 턱 막히다
gate,문; 출입구
gather,모으다; 모이다
gay,명랑한; 동성애자
gaze,응시하다; 바라보다
gear,기어; 장비
general,일반적인; 대체적인; 장군
generate,발생시키다; 생성하다
generation,세대; 발생
generous,관대한; 후한
genius,천재; 비범한 재능
genre,장르; 유형
gentle,온화한; 부드러운
gentleman,신사
genuine,진짜의; 진실된
geography,지리학
geometry,기하학
germ,세균; 미생물
gesture,몸짓; 제스처
get,얻다; 받다; 되다
ghost,유령
giant,거인; 거대한 것
gift,선물; 재능
gifted,재능 있는
girl,소녀; 여자아이
girlfriend,여자친구
give,주다; 제공하다
glad,기쁜; 반가운
glance,흘끗 보다
glass,유리; 컵; 안경(복수 glasses)
global,세계적인; 전 세계의
globe,지구본; 구체
glory,영광; 영예
glove,장갑
glow,빛나다; 빛남
glue,접착제; 붙이다
go,가다
goal,목표; 득점
goat,염소
god,신; 하느님
gold,금; 금빛의
golden,황금의; 소중한
golf,골프
good,좋은; 선한; 상품(goods)
goodbye,안녕; 잘 가
goods,상품; 물품
goose,거위
gorilla,고릴라
gospel,복음; 신조
gossip,헛소문; 잡담; 수다
govern,통치하다; 지배하다
government,정부
governor,주지사; 통치자
gown,가운; 예복
grab,붙잡다; 움켜쥐다
grace,우아함; 은총
grade,학년; 성적; 등급
gradual,점진적인; 서서히 진행되는
graduate,졸업하다; 졸업생
grain,곡물; 알갱이
grammar,문법
grand,웅장한; 거대한
grandfather,할아버지
grandmother,할머니
grant,허가하다; 승인하다; 보조금
grape,포도
graph,그래프
grasp,붙잡다; 이해하다
grass,풀; 잔디
grateful,감사하는
grave,무덤; 진지한
gravity,중력; 진지함
gray (grey),회색의
great,훌륭한; 큰; 위대한
greatly,크게; 대단히
greedy,욕심 많은; 탐욕스러운
green,녹색; 환경 친화적인
greet,맞이하다; 인사하다
greeting,인사; 환영
greyhound,그레이하운드(개 종류)
grid,격자; 전력망
grief,슬픔; 비탄
grip,잡다; 장악
grocery,식료품; 식료품 가게
ground,땅; 근거; 운동장
group,무리; 그룹
grow,자라다; 성장하다
growth,성장; 발달
guarantee,보장하다; 보증
guard,경비원; 보호하다
guess,추측하다; 짐작하다
guest,손님; 방문객
guide,안내하다; 안내원
guideline,지침; 기준
guilty,유죄의; 죄책감을 느끼는
guitar,기타
gun,총; 대포
guts,용기; 배짱
habit,습관; 버릇
habitat,서식지; 거주지
hair,머리카락; 털
haircut,이발; 커트
half,절반; 절반의
hall,홀; 복도; 회관
hallway,복도; 통로
halt,멈추다; 중단시키다
ham,햄
hammer,망치; 두드리다
hand,손; 건네주다
handful,한 움큼; 소수
handle,다루다; 처리하다; 손잡이
handsome,잘생긴
hang,매달다; 걸다; 목매달다
happen,일어나다; 발생하다
happiness,행복
happy,행복한
harbor (harbour),항구
hard,단단한; 어려운; 열심히
harden,굳히다; 강화하다
hardly,거의 ~아니다
harm,해; 해치다
harmless,해롭지 않은; 무해한
harmony,조화; 화음
harsh,가혹한; 거친
harvest,수확하다; 수확
hat,모자
hate,미워하다; 싫어하다
haul,끌다; 운반하다
have,가지고 있다; 먹다
hawk,매; 팔러 돌아다니다
hay,건초
hazard,위험; 위험 요소
he,그
head,머리; 우두머리; 향하다
headache,두통
headline,헤드라인; 제목
headquarters,본부
heal,치유하다; 낫게 하다
health,건강
healthy,건강한; 유익한
heap,더미; 쌓다
hear,듣다
hearing,청력; 공청회
heart,심장; 마음
heat,열; 뜨겁게 하다
heaven,천국; 하늘
heavy,무거운; 심한
heel,뒤꿈치
height,높이; 신장
helicopter,헬리콥터
hell,지옥
hello,안녕; 여보세요
helmet,헬멧
help,돕다; 도움
helpful,도움이 되는
hemisphere,반구; 영역
hen,암탉
hence,그러므로; 따라서
her,그녀의; 그녀를
herb,허브; 약초
herd,떼; 무리
here,여기
heritage,유산
hero,영웅
heroic,영웅적인
herself,그녀 자신
hesitate,망설이다; 주저하다
hidden,숨겨진; hide의 과거분사
hide,숨기다; 숨다
high,높은; 높게
highlight,강조하다; 하이라이트
highway,고속도로
hill,언덕
hillside,언덕 비탈
him,그를
himself,그 자신
hint,힌트; 암시; 암시하다
hip,엉덩이; 유행의
hire,고용하다; 빌리다
his,그의
historian,역사가
historic,역사적으로 중요한
historical,역사적인; 역사에 관한
history,역사
hit,치다; 타격; 히트곡
hobby,취미
hold,잡다; 보류하다; 개최하다
hole,구멍
holiday,휴가; 휴일
hollow,속이 빈; 움푹한
holy,신성한
home,집; 고향
homeland,조국
homework,숙제
honest,정직한
honesty,정직; 성실
honey,꿀; 친애하는 사람
honor,명예; 존경; ~에게 영광을 주다
hook,갈고리; 걸다
hope,희망; 바라다
hopeful,희망찬; 기대하는
horizon,지평선; 수평선
horn,뿔; 경적
horrible,끔찍한
horror,공포; 무서움
horse,말
hospital,병원
host,주인; 진행자
hostage,인질
hostess,여주인; 여자 진행자
hostile,적대적인; 반대하는
hot,뜨거운; 매운
hotel,호텔
hour,시간
house,집; 주택
household,가구(집단); 가정의
housing,주택; 주거
how,어떻게; 얼마나
however,그러나; 아무리 ~일지라도
hug,포옹하다; 껴안다
huge,거대한
human,인간의; 인간
humidity,습도
humble,겸손한; 소박한
humor (humour),유머
hundred,백
hunger,배고픔; 굶주림
hungry,배고픈
hunt,사냥하다
hunter,사냥꾼
hurry,서두르다; 서두름
hurt,다치게 하다; 아프다; 상처
husband,남편
hut,오두막; 작은 집
hybrid,혼합물; 하이브리드
hydrogen,수소
hypothesis,가설
ice,얼음
iceberg,빙산
icecream,아이스크림
icon,상징; 아이콘
idea,아이디어; 생각
ideal,이상적인; 이상
identity,정체성; 신원
identify,식별하다; 확인하다
idiom,관용구; 숙어
idle,게으른; 놀고 있는
idol,우상; 아이돌
if,만약 ~라면
ignore,무시하다
ill,아픈; 병든
illegal,불법의
illness,질병; 병
illusion,환상; 착각
illustrate,설명하다; 삽화를 넣다
image,이미지; 영상
imaginary,상상의
imagination,상상력
imagine,상상하다
imitate,모방하다; 흉내 내다
immediate,즉각적인; 당면한
immense,엄청난; 거대한
immune,면역의; 면역성이 있는
impact,영향; 충격
impatient,성급한; 참을성 없는
imperial,제국의; 황실의
implement,실행하다; 도구
implication,함축; 영향
imply,암시하다; 의미하다
import,수입하다; 수입
importance,중요성
important,중요한
impose,부과하다; 강요하다
impossible,불가능한
impress,감동시키다; 인상을 주다
impression,인상; 느낌
impressive,인상적인; 훌륭한
improve,향상시키다; 개선하다
improvement,향상; 개선
impulse,충동; 자극
in,안에; 속에
incentive,장려책; 유인
inch,인치(길이 단위)
incident,사건; 우발적 사건
include,포함하다
including,~을 포함하여
income,소득; 수입
increase,증가하다; 늘리다
incredible,믿을 수 없는; 놀라운
indeed,정말; 참으로
independent,독립적인; 자주적인
index,지수; 색인
indicate,나타내다; 표시하다
indication,징후; 표시
indifferent,무관심한; 냉담한
indigenous,토착의; 원산의
indirect,간접적인
individual,개인의; 개인
indoor,실내의
induce,유도하다; 설득하다
industry,산업; 근면
industry (industrial),산업; 공업의
inevitable,피할 수 없는; 불가피한
infant,유아; 아기
infect,감염시키다
infection,감염; 전염
infer,추론하다; 유추하다
infinite,무한한
influence,영향; 영향을 미치다
influenza,독감
inform,알리다; 통지하다
information,정보; 안내
ingredient,재료; 성분
inhabit,거주하다
inhabitant,주민
inherit,상속하다; 물려받다
initial,처음의; 초기의; 머리글자
initiative,주도권; 계획
inject,주사하다; 주입하다
injure,부상을 입히다; 해치다
injury,부상; 상처
inn,여관; 작은 호텔
inner,내부의
innocent,결백한; 순진한
innovation,혁신
innovative,혁신적인
input,입력; 투입
inquire,문의하다; 조사하다
inquiry,문의; 조사
insane,미친; 정신이상의
insect,곤충
insert,삽입하다
inside,안쪽; 내부에
insight,통찰력
insist,주장하다; 고집하다
inspect,검사하다; 조사하다
inspire,영감을 주다
install,설치하다
instance,사례; 경우
instant,즉각적인; 즉석의
instead,대신에
instinct,본능
institute,기관; 협회; 설립하다
institution,기관; 제도
instruct,지시하다; 가르치다
instruction,지시; 설명서
instrument,도구; 악기
insult,모욕하다; 모욕
insurance,보험
intact,손상되지 않은; 완전한
intake,섭취량; 흡입
integrate,통합하다
integrity,정직; 성실; 완전성
intellectual,지적인; 지식인
intelligence,지능; 정보
intelligent,똑똑한; 지적인
intend,의도하다; ~할 작정이다
intense,강렬한; 격렬한
intensity,강도; 세기
intent,의도; 목적; 열중한
interact,소통하다; 상호작용하다
interaction,상호작용
interest,흥미; 관심; 이자
interesting,흥미로운
interfere,간섭하다; 방해하다
interior,내부; 실내; 내부의
intermediate,중급의; 중간의
internal,내부의
international,국제적인
Internet (internet),인터넷
interpret,해석하다; 통역하다
interrupt,방해하다
interval,간격; 휴식
interview,인터뷰; 면접; 인터뷰하다
intimate,친밀한; 사적인
into,~안으로; ~속으로
introduce,소개하다; 도입하다
introduction,소개; 도입
invade,침입하다; 침략하다
invasion,침입; 침략
invent,발명하다
invention,발명품
inventory,목록; 재고
invest,투자하다
investigate,조사하다; 수사하다
investment,투자
invisible,보이지 않는
invitation,초대; 초대장
invite,초대하다
involve,관여시키다; 포함하다
involved,관련된; 연루된
iron,철; 다림질하다
ironic,아이러니한; 반어적인
irony,아이러니; 풍자
irregular,불규칙한
island,섬
isolate,고립시키다; 격리하다
issue,문제; 발행하다
it,그것
item,항목; 물건
its,그것의
itself,그것 자체
ivory,상아; 아이보리색
jacket,재킷; 자켓
jail,감옥; 투옥하다
jam,막히다; 혼잡; 잼
jar,단지; 병
jaw,턱
jazz,재즈
jealous,질투하는; 시샘하는
jeans,청바지
jelly,젤리
jewel,보석; 보물
jewelry,보석류; 장신구
job,직업; 일
join,가입하다; 연결하다
joint,관절; 공동의; 이음매
joke,농담; 놀리다
journal,일기; 신문; 학술지
journey,여행; 여정
joy,기쁨; 즐거움
judge,판사; 판단하다
judgment (judgement),판단; 판결
juice,주스
jump,뛰다; 점프
jungle,정글; 밀림
junior,손아랫사람; 후배; 연소자
jury,배심원단
just,단지; 방금; 공정한
justice,정의; 공정성
justify,정당화하다
keen,열렬한; 예리한
keep,유지하다; 보관하다
keeper,관리인; 보호자
kettle,주전자
key,열쇠; 핵심
keyboard,키보드
kick,차다; 킥; 발길질
kid,아이; 놀리다
kill,죽이다
killer,살해자; 위험한 것
kilometer (kilometre),킬로미터
kind,종류; 친절한
king,왕
kingdom,왕국
kiss,키스; 입맞추다
kit,도구 세트; 키트
kitchen,부엌
kite,연
knee,무릎
kneel,무릎을 꿇다
knife,칼
knit,뜨개질하다; 엮다
knock,두드리다; 노크하다
knot,매듭; 매듭짓다
know,알다; 알고 있다
knowledge,지식
lab,실험실
label,라벨; 꼬리표; 부착하다
labor (labour),노동; 노동력
laboratory,실험실 연구소
lace,레이스; 끈
lack,부족; 결핍; 부족하다
ladder,사다리
lady,숙녀; 여성
lake,호수
lamp,램프; 등
land,땅; 착륙하다
landscape,풍경; 경치
lane,차선; 길
language,언어; 말
lap,무릎; 한 바퀴
laptop,노트북 컴퓨터
large,큰; 대형의
last,마지막의; 지속되다
late,늦은; 나중에
lately,최근에
later,나중에; 후에
laugh,웃다; 웃음
laughter,웃음; 폭소
launch,출시하다; 발사하다
laundry,세탁물; 세탁소
law,법; 법칙
lawn,잔디밭
lawsuit,소송
lawyer,변호사
layer,층; 겹
layout,배치; 배열
lazy,게으른
lead,이끌다; 선도하다; 납(금속)
leader,지도자
leadership,리더십; 지도력
leaf,나뭇잎
league,연맹; 리그
leak,새다; 누출
lean,기울이다; 기대다; 야윈
learn,배우다
least,가장 적은; 최소한의
leather,가죽
leave,떠나다; 남기다
lecture,강의; 강연
left,왼쪽; 떠난 (leave의 과거/과거분사)
leg,다리
legal,법적인; 합법적인
legend,전설
leisure,여가; 한가함
lend,빌려주다
length,길이
lens,렌즈
leopard,표범
less,더 적은; 덜
lesson,수업; 교훈
let,허락하다; ~하게 하다
letter,편지; 글자
level,수준; 층; 평평하게 하다
lever,지레; 레버
library,도서관
license,면허; 허가증
lid,뚜껑
lie,거짓말; 눕다; lie-lay-lain
life,삶; 생명; 생활
lifetime,일생; 평생
lift,들어 올리다; 엘리베이터(영)
light,빛; 가벼운; 불을 켜다
lightning,번개
like,좋아하다; ~처럼
likely,~할 것 같은; 아마
limit,한계; 제한하다
limited,제한된
line,선; 줄; 노선; 대사
link,연결하다; 연결; 링크
lion,사자
lip,입술
liquid,액체; 유동체
list,목록; 나열하다
listen,듣다
listener,청자; 듣는 사람
liter,리터
literacy,문해력; 읽고 쓰는 능력
literal,글자 그대로의
literary,문학의
literature,문학; 문헌
little,작은; 적은
live,살다; 생방송으로
lively,활기찬; 생생한
liver,간(인체 기관)
living,살아있는; 생활의
load,짐; 부담; 싣다
loan,대출; 빌려주다
local,지역의; 지방의
locate,위치를 찾다
location,위치; 장소
lock,잠그다; 자물쇠
log,통나무; 기록
logic,논리
logical,논리적인
lonely,외로운
long,긴; 오랫동안
look,보다; ~처럼 보이다; 표정
loop,고리; 반복
loose,느슨한; 풀린
lord,군주; 지배자
lorry,트럭(영국)
lose,잃다; 지다
loss,손실; 손해
lot,많음; 다수; 부지
loud,시끄러운; 큰 소리의
love,사랑; 사랑하다
lovely,사랑스러운; 예쁜
lover,연인
low,낮은; 적은
lower,내리다; 더 낮은
loyal,충성스러운; 신의 있는
loyalty,충성; 충성심
luck,운; 행운
lucky,행운의
luggage,수하물; 짐
lumber,목재; 잡동사니
lump,덩어리
lunch,점심
lung,폐
luxury,사치; 고급품
machine,기계
machinery,기계류; 기계장치
mad,미친; 화난
magazine,잡지
magic,마법; 마술
magnet,자석
magnetic,자기적인; 자성을 띤
magnificent,장엄한; 훌륭한
maid,하녀; 소녀
mail,우편; 메일; 보내다
main,주요한; 중심의
mainly,주로
maintain,유지하다; 관리하다
maintenance,유지; 보수
major,주요한; 대다수의; 전공
majority,대다수; 과반수
make,만들다; 하게 하다
maker,제조업자; 만드는 사람
makeup,화장; 구성요소
male,남성; 수컷
mall,쇼핑몰
man,남자; 사람
manage,관리하다; 경영하다; 해내다
management,경영; 관리
manager,관리자; 매니저
mankind,인류
manly,남자다운; 씩씩한
mansion,대저택; 큰 집
manual,수동의; 설명서
manufacture,제조하다; 생산하다
manufacturer,제조업자; 생산자
many,많은
map,지도; 약도
marble,대리석; 구슬
march,행진하다; 3월(March)
margin,여백; 차이; 수익
marine,바다의; 해양의
mark,표시; 자국; 점수; 표시하다
market,시장; 마켓
marriage,결혼; 결혼생활
married,결혼한
marry,결혼하다
mask,가면; 마스크; 숨기다
mass,덩어리; 대량; 질량
massage,마사지
massive,거대한; 대규모의
master,주인; 석사; 숙달하다
match,경기; 성냥; 짝; 어울리다
material,재료; 물질; 물질의
mathematics (math),수학
maths,수학(영국식)
matter,문제; 물질; 중요하다
mature,성숙한; 숙성하다
maximum,최대; 최대의
may,~일지도 모른다; 5월(May)
maybe,아마도
mayor,시장(도시의 행정 책임자)
me,나를; 나에게
meal,식사
mean,의미하다; 비열한; 평균
meaning,의미
meantime,그동안; 동시에
meanwhile,그동안; 한편
measure,측정하다; 조치; 기준
measurement,측정; 치수
meat,고기
mechanic,정비사
mechanical,기계의; 기계적인
mechanism,기구; 구조; 방식
medal,메달
media,미디어; 매체
medical,의학의; 의료의
medicine,약; 의학
medieval,중세의
medium,중간의; 매체
meet,만나다; 충족시키다
meeting,회의; 만남
melt,녹다; 녹이다
member,구성원; 회원
membership,회원자격; 소속
memory,기억; 메모리
mental,정신의; 마음의
mention,언급하다
menu,메뉴; 식단표
merchant,상인; 무역상
mercy,자비; 동정
mere,단지 ~에 불과한
merely,단지; 그저
merge,합병하다; 합치다
merit,장점; 뛰어남
merry,즐거운; 명랑한
mess,엉망; 혼란
message,메시지; 전갈
messenger,전달자; 메신저
metal,금속
metaphor,은유; 비유
method,방법; 방식
metre (meter),미터
middle,중간; 가운데
midnight,자정
might,~할 수도 있다; 힘
mild,온화한; 약한
mile,마일(거리 단위)
military,군대의; 군사의
milk,우유; 짜다
mill,방앗간; 공장
million,백만
mind,마음; 정신; 꺼리다
mine,광산; 내 것
mineral,광물; 미네랄
minimum,최소; 최소의
minister,장관; 목사
minor,사소한; 미성년자
minority,소수; 소수집단
minute,분; 순간; 아주 작은
miracle,기적
mirror,거울
miserable,불쌍한; 비참한
misery,비참함; 고통
mislead,오도하다; 잘못 인도하다
miss,놓치다; 그리워하다
missile,미사일
missing,없어진; 빠진
mission,임무; 사명
mist,안개
mistake,실수; 잘못
misunderstand,오해하다
mix,섞다; 혼합물
mixture,혼합물
mobile,이동식의; 휴대폰(모바일)
mock,조롱하다; 흉내내다
mode,방식; 형태
model,모델; 본보기
moderate,적당한; 완화하다
modern,현대의; 현대적인
modest,겸손한; 소박한
modify,수정하다; 바꾸다
moment,순간
Monday,월요일
money,돈
monitor,화면; 감시하다
monkey,원숭이
monster,괴물
month,월; 한 달
monthly,매월의
mood,기분; 분위기
moon,달
moral,도덕적인; 교훈
more,더 많은; 더
moreover,게다가; 더욱이
morning,아침
mortal,죽을 운명의; 인간
mortgage,담보 대출; 저당
most,가장 많은; 대부분의; 대부분
mostly,대체로; 주로
mother,어머니
motion,움직임; 동작
motivate,동기를 부여하다
motive,동기; 이유
motor,모터
motorcycle,오토바이
mount,오르다; 설치하다; 산
mountain,산
mouse,쥐; 컴퓨터 마우스
mouth,입
move,움직이다; 이사하다
movement,움직임; 운동
movie,영화
much,많이; 많은
mud,진흙
multiply,곱하다; 증가시키다
mum (mom),엄마
murder,살인; 살해하다
muscle,근육
museum,박물관
music,음악
musical,뮤지컬; 음악의
musician,음악가
must,~해야 한다
mutual,상호의; 공동의
my,나의
myself,나 자신
mysterious,신비한; 불가사의한
mystery,수수께끼; 신비
myth,신화; 사회적 통념
nail,손톱; 못; 못을 박다
naive,순진한; 천진난만한
name,이름; 명명하다
narrative,이야기; 서술
narrow,좁은; 제한된
nasty,불쾌한; 심술궂은
nation,국가; 민족
national,국가의; 국민의
native,원주민의; 태어난 곳의
natural,자연의; 자연스러운
nature,자연; 본성
naughty,버릇없는; 말 안 듣는
navy,해군
near,가까운; 가까이에
nearby,근처의; 인근의
nearly,거의
neat,깔끔한; 정돈된
necessary,필요한; 필수의
necessity,필수품; 필요성
neck,목; 목덜미
need,필요; 필요로 하다
needle,바늘; 주사 바늘
negative,부정적인; 음성의
neglect,방치하다; 무시하다
negotiate,협상하다; 교섭하다
neighbor (neighbour),이웃
neighborhood,이웃; 지역
neither,둘 다 아닌; 어느 쪽도 ~아니다
nerve,신경; 용기
nervous,긴장한; 불안한
nest,둥지
net,그물; 순수한; 인터넷
network,네트워크; 조직망
neutral,중립의
never,절대; 결코 ~않다
nevertheless,그럼에도 불구하고
new,새로운
newly,새로이
news,뉴스; 소식
newspaper,신문
next,다음의; 옆의
nice,좋은; 멋진
night,밤
nightmare,악몽
nine,아홉
nineteen,열아홉
ninety,아흔
ninth,아홉 번째
no,아니오; ~이 아닌
noble,고귀한; 숭고한
nobody,아무도 ~않다; 보잘것없는 사람
nod,끄덕이다; 고개를 끄덕임
noise,소음; 시끄러움
noisy,시끄러운
none,아무도 ~아니다; 아무것도 ~없다
nonsense,말도 안 됨; 허튼소리
noodle,국수; 면
normal,정상적인; 보통의
normally,보통; 정상적으로
north,북쪽
northern,북쪽의; 북부의
nose,코
not,~아니다
note,메모; 주목하다; 음표
notebook,노트; 공책
nothing,아무것도 ~아님; 무
notice,주의하다; 공지; 주목
notify,알리다; 통지하다
notion,개념; 생각
novel,소설; 새로운
November,11월
now,지금; 이제
nowadays,요즘; 현재
nowhere,어디에도 ~없다
nuclear,핵의; 원자력의
nurse,간호사
nursery,탁아소; 유치원; 묘목장
nurture,양육하다; 기르다
nut,견과류; 너트(볼트와 연결되는 부품)
nutrition,영양; 영양 섭취
oak,참나무
oath,맹세; 서약
obey,순종하다; 따르다
object,물체; 목적; 반대하다
objection,반대; 이의
objective,목표; 객관적인
obligation,의무; 책임
observation,관찰; 주시
observe,관찰하다; 지켜보다
obsess,집착하다; 사로잡히게 하다
obstacle,장애물; 방해
obtain,얻다; 획득하다
obvious,명백한; 분명한
occasion,경우; 행사
occasional,가끔의
occupation,직업; 점령
occupy,차지하다; 점유하다
occur,발생하다; 일어나다
ocean,바다; 해양
October,10월
odd,이상한; 홀수의
odor (odour),냄새; 악취
of,~의; ~에 대한
off,떨어져; 벗어나; 작동하지 않는
offend,기분 상하게 하다; 범죄를 저지르다
offense (offence),범죄; 공격; 위반
offer,제공하다; 제안하다
office,사무실; 회사
officer,직원; 장교
official,공식적인; 공무원
often,자주; 흔히
oh,오!; 어!
oil,기름; 석유
